,Outlet/Publication,Headline,Hit sentence,Url,Rating
25,otimetot.wordpress.com,!2017 – Toxic Tooth," sticky foods. The symptoms of an abscessed tooth include throbbing and sharp toothaches, pain when chewing food, altered ability to taste, bad breath, swelling of the cheek, red and sore gums, difficulty swallowing food, swollen lymph nodes under your jaw, fevers and general discomfort. Below Are Some Amazing Home Remedies For Tooth Abscesses Water and Salt Rinses This a well-known remedy that even your dentist will recommend. Salt has antiseptic and antibacterial properties that can help reduce",https://otimetot.wordpress.com/2017/05/20/2017-toxic-tooth/,Not Spam
26,brockandshalli.blogspot.com,22 Weeks + 1 Day," poor husband's days, revolve around throwing up, doctor appointments, hours of infusions, taking medication 4+ times a day to try and control my vomiting, having puke bags and mouthwash in my purse, in my car, my desk, coffee table, nightstand and anywhere within arm's reach at all times, spending hours on the bathroom floor, throwing up anywhere and everywhere whether it's in public , while driving or at work, having cracked/chapped lips and a sore throat 24/7, bruises up and down my arms from",http://brockandshalli.blogspot.com/2017/05/22-weeks-1-day.html,Not Spam
27,carakupunya.blogspot.com,Causes and 13 powerful ways of overcoming canker sores on lips ...," Mefenamat for relieving pain due to canker sores can you use mouthwash or taken drugs. To remedy that dikumur could use listerin, fluid on listerin can kill the bacteria and germs that cause infection in the skin of the lips, and a for a drug that is taken, you can use paracetamol or mefenamic acid, but remember, it is recommended based on the dosage of physicians, especially the dose for small children or infants and toddlers, as well. 2. Treating Severe aphthous ulcers by",http://carakupunya.blogspot.com/2016/01/12-cara-ampuh-mengatasi-sariawan-pada-bibir-sakit-terluka.html,Not Spam
28,twitter.com,"[ Nish3dawsonfan ] RT @TheBiancaDelRio: DRAG QUEEN TOILETRY BAGS...... on the right, MINE! On the left @allaboutvalentina     ❤️❤️ #toomuchshit #listerine... ht… by Nish3dawsonfan","[ Nish3dawsonfan ] RT @TheBiancaDelRio: DRAG QUEEN TOILETRY BAGS...... on the right, MINE! On the left @allaboutvalentina     ❤️❤️ #toomuchshit #listerine... ht…",http://twitter.com/Nish3dawsonfan/statuses/869579780756254720,Not Spam
29,twitter.com,[ _lizharvey ] @CountCaleb Its good! I use a fluoride mouthwash tho? Idk by _lizharvey,[ _lizharvey ] @CountCaleb Its good! I use a fluoride mouthwash tho? Idk,http://twitter.com/_lizharvey/statuses/869798845001207808,Not Spam
30,facebook.com,10 the use of Listerine that may day that Never know ... by Yamaha RXZ,10 the use of Listerine that may day that never know do you know that Listerine could actually be used for the various use of others. Follow the writings of Hafiz Tint below to 10 use Listerine to try yourself at home.,http://www.facebook.com/143569299046209/posts/1374631502606643,Not Spam
31,yasminhospital.com,Gums Bleed When Pregnant,"Gums bleed when pregnant? Don't panic, this few days there are some patients who ask to admin https://www.facebook.com/yasmin.hospital Of Gums That bleed when pregnant, here we will discuss some tips about bleeding gums (gingivitis) while pregnant. Gums bleed when pregnant happen due to an increase in the hormone progesterone which causes the mother's gums are vulnerable to bacteria in dental plaque. Hormonal changes and an increased flow of blood to the entire body in pregnant women will cause",http://www.yasminhospital.com/gusi-berdarah-saat-hamil/,Not Spam
32,twitter.com,[Lyncon_Rizh] RT @ cunhxvv: Bath of Listerine bath in Li Li Li by Lyncon_rizh,[Lyncon_Rizh] RT @ cunhxvv: Bath of Listerine Li Li Li,http://twitter.com/Lyncon_Rizh/statuses/869784570241196032,Not Spam
33,mattiejomemoirs.blogspot.com,Blog-A-Holic (and other addictions)," dryers, even MOUTHWASH-only exist in the rich neighborhoods. Showers and towels and blow dryers are important because often as actors we need to workout before or after we are en route to another place. Because you don’t want to take 30-45 more minutes on the train going back to your apartment to get ready for work after an audition. In the acting world, we carry SO MUCH shit with us everyday, i.e. audition clothes, book, dance shoes, etc…carrying a wet towel and hair dryer just adds to the poundage",http://mattiejomemoirs.blogspot.com/2017/04/hello-there-friends-i-guess-its-just.html,Not Spam
34,facebook.com,Photos from MoNd Rujira's post by MoNd Rujira,"Gargle bamboo $390,- The mother and sister stores and boutiques weaved dreams Market-stall khoeng Bamboo cows sing mouthwash gargle of extracts from bamboo pulp special fresh produce from Taiwan-children 2 years and up available? -Traces of the infected tooth crevices, deep phlat-fresh breath-alcohol, no substance, no burning sensation in the mouth, bacteria, 99.99%--great cleaner-suitable for all ages-orthodontics. Brush your teeth with steel tines stick cannot be reached. Query ordering here: Tel 086-1927718 or inbox to get in. Line ID: mond genuine rujira%.",http://www.facebook.com/1666958496861130/posts/2002155390008104,Spam
35,facebook.com,Nuaungaung Shop by Aom Naka,"Ritdot send yayok wai!!! ""review, closer to เล้ยย for anyone that has a problem stains yellow teeth. Limestone islands have bad teeth whiter 2 times!!! Do not rely on the doctor steps over white teeth, praising come garden Antoine sur offer a set of white teeth suited to who see Bamboo Mouthwash cleaners, dispersing plaque special extract, bamboo (bamboo substances. Poly phenolic Bamboo Polyphenols) is copyright to bring special production and efficiency in bringing the stains, stains, dirt and food scraps mucus comes out innovative new single, and the first in the country in Thailand. Suitable for people who have problems with oral health.",http://www.facebook.com/433675650159179/posts/630326253827450,Spam
36,twitter.com,[ yesmadamhome ] #premakeuphack - You can #shrink a #pimple in minutes by putting #Listerine on it. The #alcohol will dry it up & ca… https://t.co/lWwtCvpuLF by yesmadamhome,[ yesmadamhome ] #premakeuphack - You can #shrink a #pimple in minutes by putting #Listerine on it. The #alcohol will dry it up & ca… https://t.co/lWwtCvpuLF,http://twitter.com/yesmadamhome/statuses/870105174794268672,Not Spam
37,twitter.com,[ Killa_Mal_Balla ] She Want Me Keep Her Clean Like Listerine✔ by Killa_Mal_Balla,[ Killa_Mal_Balla ] She Want Me Keep Her Clean Like Listerine✔,http://twitter.com/Killa_Mal_Balla/statuses/869603044014657536,Not Spam
38,twitter.com,[ FeeBooths ]   Don't let the days go by Listerine    #HygenicRocknRoll https://t.co/CN1OBfiZkY by FeeBooths,[ FeeBooths ]   Don't let the days go by Listerine    #HygenicRocknRoll https://t.co/CN1OBfiZkY,http://twitter.com/FeeBooths/statuses/869689646355296256,Spam
39,facebook.com,Snowdreams house by Snowdreams house,"Smile v. The first time a loved one to use Smile V gargle immediately feel the teeth clean yo-yo, like a tooth and the taste is also very good how long have you been nursing your teeth? The secret to nursing your teeth at home is here. Wechatsimmichelle88 Leazior # and your Smile # # Oral Detox # The body is healthier Silev Camouth Wash # New forces come to Smile v. The first time a lover uses smile V to rinse his teeth and immediately feel a clean slip. It's like brushing your teeth, and it smells good. How long have you been nursing your teeth? The secret to nursing your teeth at home is here. Wechatsimmichelle88 Leazior # and your Smile # # Oral Detox # Anti-inflammatory Sterilization # body Healthier Silev Camouth Wash # New forces coming in",http://www.facebook.com/125368204231528/posts/1088860791215593,Spam
40,twitter.com,[ glitter_ashley ] @Girbeagly also peep that sweet listerine in the back #spon amirite by glitter_ashley,[ glitter_ashley ] @Girbeagly also peep that sweet listerine in the back #spon amirite,http://twitter.com/glitter_ashley/statuses/869732854070210560,Not Spam
41,twitter.com,[CoringaODKILL] Anyone who doesn't like me has a problem with oral hygiene.... phobia to Listerine amigúh? by Coringaodkill,[CoringaODKILL] Anyone who doesn't like me has a problem with oral hygiene.... phobia to Listerine amigúh?,http://twitter.com/CoringaODKILL/statuses/869731469828214784,Not Spam
42,centsablemomma.com,Printable Coupon: $0.50 off Scope Mouthwash + CVS Deal,"There’s a new printable coupon available for $0.50/1 Scope Mouthwash (237 ml or larger) that you can stack with an Extra Care Bucks deal at CVS this week to get a good deal after all discounts. Deals available using the coupon include: CVS: Crest Scope Mouthwash (16.9 oz.), $3.99 Get $3 Extra Care Bucks $0.50/1 Scope Mouthwash printable coupon Total after Coupon and ECB’s: $0.49 ea. Thanks Wild for CVS! Additional new printable coupons available include: Save $4.00 any (1) Go & Grow by Similac",http://www.centsablemomma.com/printable-coupon-0-50-off-scope-mouthwash/,Spam
43,facebook.com,Listerine: 10 Incredible And Surprising Uses Every Woman Sho... by Shattered,"We all know it helps with stinky breath, but did you know mouthwash can actually be used in a ton of cool ways? Definitely trying this tonight! Because I like to be prepared for any situation, my medicine cabinet is absolutely overflowing with all kinds of natural and drugstore products. And while I’ve used several of these bathroom items for surprising health and household hacks — like my ever-useful container of VapoRub — I never thought ...",http://www.facebook.com/371177302959323/posts/1384765011600542,Not Spam
44,twitter.com,[TerrorRoxo] RT @ umvicente: Know OQ vc ta Precisano?? Listerine by Terrorroxo Bath,[TerrorRoxo] RT @ umvicente: Know OQ vc ta Precisano?? Listerine Bath,http://twitter.com/TerrorRoxo/statuses/869647060496240642,Spam
45,twitter.com,[Oluap_CRF] VCs deserve a bath of Listerine by OLUAP_CRF,[Oluap_CRF] VCs deserve a bath of Listerine,http://twitter.com/oluap_CRF/statuses/869691789434912768,Not Spam
46,twitter.com,[Nakame] [Https://t.co/QxaQzR3ueI Limited] medicated even listerine cool mint with extra 1000ml [Quasi pharmaceuticals] by Nakame,[Nakame] [Https://t.co/QxaQzR3ueI Limited] medicated even listerine cool mint with extra 1000ml [quasi-drugs],http://twitter.com/_nakame_/statuses/869737221724684293,Spam
47,twitter.com,"[ 025_Ajax ] RT @mheavyhead: One of the kids showed up to the party wearing a headdress made of listerine bottles. As often, homeless People will drink… by 025_Ajax","[ 025_Ajax ] RT @mheavyhead: One of the kids showed up to the party wearing a headdress made of listerine bottles. As often, homeless People will drink…",http://twitter.com/025_Ajax/statuses/869560313355452416,Not Spam
48,facebook.com,Gargle bamboo by bamboomouthwash Puppy love puppy love,"This kind of problem, we can help you. Toothpaste mouthwash #Bamboo HYDENT ... ✅ buddy .. teeth toothpaste. #HYDENT .., traces of suspended bacteria inhibitor plus bad breath. Reduce the sensitivity Fresh breath, reduces inflammation of the gums. The quantity of 80 m Suez # gargle mouthwash special bamboo pulp extract, #Bamboo. Eliminate stains the teeth. There are no fresh breath alcohol substance eliminates 99.99% of bacteria, not a burning sensation in the mouth. Children use. Adult bad net volume 300 ml free shipping to my country. Open to the strong dealer. Contact, order or enquiry Line: @kotdee Tel ☎️ 969626544.",http://www.facebook.com/859418414181159/posts/1238540069602323,Spam
49,twitter.com,[ Ignis___ ] I want to be minty fresh all over so I bathe in Listerine. by Ignis___,[ Ignis___ ] I want to be minty fresh all over so I bathe in Listerine.,http://twitter.com/Ignis___/statuses/869563574640836610,Not Spam
50,twitter.com,"[ tweet_phx42 ] My teeth get whiter in Ramadan cause I brush & Listerine like 2, 3, 4 times a day lol by tweet_phx42","[ tweet_phx42 ] My teeth get whiter in Ramadan cause I brush & Listerine like 2, 3, 4 times a day lol",http://twitter.com/tweet_phx42/statuses/869953190216613888,Not Spam
51,thisishuman.wordpress.com,Hazel – Chapter 1," his black sheets. Whatever, screw it. “That’s sweet, but I’ve gotta check out, too.” I’m already out of his bed and gathering my things, allowing him one last look at my naked body before we never see each other again. I grab my phone off his black dresser and turn away from him so the sun hits my curves like a spotlight. Three missed calls from my mother glare through the broken screen. My battery is only at 12%, but I could spare a percent or three to listen to her voicemails bitching about my",https://thisishuman.wordpress.com/2017/05/06/hazel-chapter-1/,Spam
52,voir-autrement.com,Beauty Made Easy With These Tips," in the summertime. Peppermint oil and water can be combined for use as a mouthwash. Only put in one drop of peppermint oil for an ounce of water. The purified water should initially be boiled. Then place the number of drops of oil you require into a large glass or ceramic container. It is important to add the boiling water next. Use a clean cloth to cover the container while it cools. Once the mixture is cooled, put it into a bottle and place a lid on it. Now you have your mouthwash! Good",http://voir-autrement.com/beauty-made-easy-with-these-tips/,Spam
53,facebook.com,Lazior SmileV MouthWash by Loo Wai Han,"Mouth do you know that oral problems are slowly caused by the night tired? Let Smilev prevent these problems for you. Smile v give you a bright white tooth | Release your self-confidence de smile farewell to ""yellow teeth"" you need smile V100 natural whitening teeth and remove the residue on the teeth kill bacteria and germs to eliminate odor prevention oral mucosa infection, refreshing taste, promoting oral freshness Leazior Silev Camouth Wash Protect your mouth from germs. # to make you smile every day # you can protect your teeth at home # Province",http://www.facebook.com/728207860582380/posts/1410904248979401,Spam
54,twitter.com,"[ jodielynnQ ] @TheAnnMarieJohn @cvspharmacy oftsoup hand,right gaurd,metcham,pantene,loreal,fruitus,tresemee,mouthwash(credit& sc… https://t.co/My4j1psthq by jodielynnQ","[ jodielynnQ ] @TheAnnMarieJohn @cvspharmacy oftsoup hand,right gaurd,metcham,pantene,loreal,fruitus,tresemee,mouthwash(credit& sc… https://t.co/My4j1psthq",http://twitter.com/jodielynnQ/statuses/869947972565467137,Not Spam
55,twitter.com,[ SouthernMrsOwen ] @fangirlNK Listerine....... code for Lu's left nipple..... by SouthernMrsOwen,[ SouthernMrsOwen ] @fangirlNK Listerine....... code for Lu's left nipple.....,http://twitter.com/SouthernMrsOwen/statuses/869989594078564353,Not Spam
56,twitter.com,[Geekinthemono] I mean... I wonder if it was really fever. It has completely healed. lol even and isodine thanks? by Geekinthemono,[Geekinthemono] I mean... I wonder if it was really fever. It has completely healed. lol even and isodine thanks?,http://twitter.com/geekinthemono/statuses/869889591062315008,Spam
57,muddelchen.blogspot.com,Used up in April 2017 with short reviews," It also always good to use for my training tapes for dusting. The powder smells very pleasant, but baby products do it mostly:) Repurchase therefore at any time. Listerine Total Care Mouthwash, 95 ml (sample size) the other day at the dentist after the PTC, I was generously given a gift. I still remember Listerine as very sharp and uncomfortable, but after I used up the first vial, I have to say that I liked the sharp, very",http://muddelchen.blogspot.com/2017/05/aufgebraucht-im-april-2017-mit.html,Not Spam
58,twitter.com,[ StephiiPetersen ] #2WeeksWhiterTeeth with Listerine Advanced White Mouth Wash. @beautybulletins https://t.co/CVhhRawcIM by StephiiPetersen,[ StephiiPetersen ] #2WeeksWhiterTeeth with Listerine Advanced White Mouth Wash. @beautybulletins https://t.co/CVhhRawcIM,http://twitter.com/StephiiPetersen/statuses/869878530993160192,Spam
59,twitter.com,[ SvenDolu ] RT @jacobedmonds77: Have you heard ‘LISTERINE (featuring merk.)’ by JAEi$DE∀D on #SoundCloud? #np https://t.co/QMYvhcdd60 by SvenDolu,[ SvenDolu ] RT @jacobedmonds77: Have you heard ‘LISTERINE (featuring merk.)’ by JAEi$DE∀D on #SoundCloud? #np https://t.co/QMYvhcdd60,http://twitter.com/SvenDolu/statuses/869634755981135872,Spam
60,twitter.com,[ michel_lesann ] RT @LlamaInaTux: Homeland Security vastly overestimates my skills with a half bottle of listerine by michel_lesann,[ michel_lesann ] RT @LlamaInaTux: Homeland Security vastly overestimates my skills with a half bottle of listerine,http://twitter.com/michel_lesann/statuses/869939618837409799,Not Spam
61,twitter.com,[ ThomasDAngelo69 ] PLEASE HELP!!! I HAD TO DRINK LISTERINE FOR THIS PICTURE TO HAPPEN!!! https://t.co/uUcpNbf7jF by ThomasDAngelo69,[ ThomasDAngelo69 ] PLEASE HELP!!! I HAD TO DRINK LISTERINE FOR THIS PICTURE TO HAPPEN!!! https://t.co/uUcpNbf7jF,http://twitter.com/ThomasDAngelo69/statuses/869769249572745216,Not Spam
62,twitter.com,[ CCHomeFurn ] @big_1_Otis Mouthwash..... by CCHomeFurn,[ CCHomeFurn ] @big_1_Otis Mouthwash.....,http://twitter.com/CCHomeFurn/statuses/869718810357575680,Spam
63,twitter.com,[Vinicius_Betim] You're listening to music when you don't... The new Listerine anticaries helps you fight tooth decay with teeth twice as strong by Vinicius_betim,[Vinicius_Betim] You're listening to music when you don't... The new Listerine anticaries helps you fight tooth decay with teeth twice as strong,http://twitter.com/Vinicius_Betim/statuses/870121702449131521,Spam
64,facebook.com,Colostrum Thailand by Wipawan Danu," Line:: @ g.story (@ ahead?) Tel:: 089-9691065. He drew the death Brigade in. >>!!! Wai ritdot customer sends yayok, closer to review เล้ยย for anyone that has a problem stains yellow teeth. Limestone islands have bad teeth whiter 2 times!!! Do not rely on the doctor steps over white teeth, praising come garden Antoine sur offer a set of white teeth suited to who see Bamboo Mouthwash cleaners, dispersing plaque special extract, bamboo (bamboo substances. Poly phenolic Bamboo Polyphenols) is copyright to bring special production and efficiency in bringing the stains, stains, dirt and food scraps mucus comes out.",http://www.facebook.com/660979014005681/posts/964008877036025,Spam
65,twitter.com,[ lightningboldt ] @PressSec You must go through an insane amount of Listerine. Are you able to completely eliminate the taste of bullshit? by lightningboldt,[ lightningboldt ] @PressSec You must go through an insane amount of Listerine. Are you able to completely eliminate the taste of bullshit?,http://twitter.com/lightningboldt/statuses/869619497719787521,Not Spam
66,facebook.com,I just washed my hair in Dawn dishwashing soap and mouthwas...... by Abye Hunt,"I just washed my hair in Dawn dishwashing soap and mouthwash! I was wondering if anyone else has the same problem. Suddenly over the last two weeks, my hair has become uncontrollably oily. My scalp literally oozes oil. No idea why. I've always had extremely dry hair and skin. Help! Is anybody have an answer for this this? Thanks ahead of time!",http://www.facebook.com/390327554345399/posts/1536625433048933,Not Spam
67,twitter.com,[ TheReal__V ] only thing u needa hit a lick of is a Walgreens for some mouthwash u filthy pesticide https://t.co/0PxSehhdAn by TheReal__V,[ TheReal__V ] only thing u needa hit a lick of is a Walgreens for some mouthwash u filthy pesticide https://t.co/0PxSehhdAn,http://twitter.com/TheReal__V/statuses/869990290014261249,Not Spam
